"Date","Price","Open","High","Low","Vol.","Change %"
"08/15/2014","3,989.4","3,989.4","4,015.5","3,989.4","373.45K","0.66%"
"08/14/2014","3,963.3","3,989.4","3,989.4","3,963.3","721.90K","-0.65%"
"08/13/2014","3,989.4","3,963.3","4,015.5","3,963.3","702.80K","0.00%"
"08/12/2014","3,989.4","3,989.4","4,041.5","3,963.3","321.84K","0.00%"
"08/11/2014","3,989.4","4,015.5","4,015.5","3,989.4","68.93K","-0.65%"
"08/08/2014","4,015.5","3,989.4","4,015.5","3,989.4","723.57K","0.00%"
"08/07/2014","4,015.5","4,015.5","4,015.5","3,989.4","87.50K","0.00%"
"08/06/2014","4,015.5","3,989.4","4,015.5","3,989.4","59.85K","0.00%"
"08/05/2014","4,015.5","4,015.5","4,015.5","3,989.4","211.06K","0.00%"
"08/04/2014","4,015.5","3,989.4","4,015.5","3,989.4","212.90K","0.00%"
"08/01/2014","4,015.5","4,041.5","4,041.5","3,989.4","115.16K","0.00%"
"07/31/2014","4,015.5","3,989.4","4,015.5","3,989.4","406.01K","0.00%"
"07/30/2014","4,015.5","4,015.5","4,015.5","3,989.4","33.80K","0.00%"
"07/29/2014","4,015.5","4,015.5","4,015.5","3,989.4","346.93K","0.65%"
"07/28/2014","3,989.4","4,015.5","4,041.5","3,989.4","406.30K","0.00%"
"07/25/2014","3,989.4","4,015.5","4,041.5","3,989.4","379.48K","-0.65%"
"07/24/2014","4,015.5","4,015.5","4,041.5","4,015.5","211.74K","0.00%"
"07/23/2014","4,015.5","4,015.5","4,041.5","4,015.5","171.74K","0.00%"
"07/22/2014","4,015.5","4,015.5","4,041.5","3,989.4","813.15K","0.00%"
"07/21/2014","4,015.5","4,041.5","4,041.5","4,015.5","219.97K","-0.64%"
"07/18/2014","4,041.5","4,041.5","4,041.5","4,015.5","389.32K","0.00%"
"07/17/2014","4,041.5","4,041.5","4,041.5","4,015.5","35.81K","0.00%"
"07/16/2014","4,041.5","4,041.5","4,041.5","4,015.5","444.65K","0.00%"
"07/15/2014","4,041.5","4,015.5","4,041.5","4,015.5","260.56K","0.65%"
"07/14/2014","4,015.5","4,041.5","4,041.5","4,015.5","563.69K","0.00%"
"07/11/2014","4,015.5","4,015.5","4,041.5","3,989.4","254.80K","0.00%"
"07/10/2014","4,015.5","4,041.5","4,041.5","4,015.5","365.32K","-0.64%"
"07/09/2014","4,041.5","4,041.5","4,067.6","4,015.5","231.34K","0.00%"
"07/08/2014","4,041.5","4,041.5","4,067.6","4,015.5","748.30K","0.00%"
"07/07/2014","4,041.5","4,067.6","4,067.6","3,650.4","649.87K","0.00%"
"07/04/2014","4,041.5","4,067.6","4,067.6","4,041.5","432.64K","-0.64%"
"07/03/2014","4,067.6","4,041.5","4,067.6","4,015.5","1.14M","0.65%"
"07/02/2014","4,041.5","4,041.5","4,041.5","4,015.5","421.86K","0.00%"
"07/01/2014","4,041.5","4,041.5","4,041.5","4,015.5","746.98K","0.65%"
"06/30/2014","4,015.5","4,015.5","4,041.5","3,989.4","1.00M","-0.64%"
"06/27/2014","4,041.5","4,015.5","4,041.5","4,015.5","175.89K","0.65%"
"06/26/2014","4,015.5","4,041.5","4,041.5","4,015.5","921.99K","-1.28%"
"06/25/2014","4,067.6","4,015.5","4,067.6","4,015.5","331.37K","1.30%"
"06/24/2014","4,015.5","4,015.5","4,015.5","3,989.4","684.95K","0.00%"
"06/23/2014","4,015.5","4,041.5","4,041.5","4,015.5","604.27K","-0.64%"
"06/20/2014","4,041.5","4,015.5","4,067.6","4,015.5","360.10K","0.00%"
"06/19/2014","4,041.5","4,015.5","4,041.5","3,989.4","953.88K","0.65%"
"06/18/2014","4,015.5","4,015.5","4,015.5","3,989.4","512.85K","-0.64%"
"06/17/2014","4,041.5","4,015.5","4,041.5","4,015.5","317.15K","0.00%"
"06/16/2014","4,041.5","4,041.5","4,041.5","4,015.5","183.93K","0.00%"
"06/13/2014","4,041.5","4,015.5","4,067.6","4,015.5","208.24K","-0.64%"
"06/12/2014","4,067.6","4,067.6","4,067.6","4,015.5","555.36K","-0.64%"
"06/11/2014","4,093.7","4,015.5","4,093.7","4,015.5","240.03K","1.29%"
"06/10/2014","4,041.5","4,041.5","4,093.7","3,989.4","121.98K","-0.64%"
"06/09/2014","4,067.6","4,093.7","4,093.7","4,041.5","236.43K","0.00%"
"06/06/2014","4,067.6","4,041.5","4,067.6","4,041.5","289.39K","0.65%"
"06/05/2014","4,041.5","4,041.5","4,041.5","3,989.4","185.04K","0.00%"
"06/04/2014","4,041.5","3,989.4","4,067.6","3,989.4","157.46K","1.31%"
"06/03/2014","3,989.4","4,067.6","4,145.8","3,780.8","330.11K","-1.29%"
"06/02/2014","4,041.5","4,067.6","4,093.7","4,041.5","134.08K","-1.28%"
"05/30/2014","4,093.7","4,067.6","4,145.8","4,067.6","576.53K","0.00%"
"05/29/2014","4,093.7","4,067.6","4,119.8","4,067.6","135.03K","-0.63%"
"05/28/2014","4,119.8","4,093.7","4,119.8","4,041.5","162.63K","0.64%"
"05/27/2014","4,093.7","4,015.5","4,093.7","3,650.4","178.75K","1.29%"
"05/26/2014","4,041.5","4,015.5","4,041.5","4,015.5","31.97K","0.00%"
"05/23/2014","4,041.5","3,989.4","4,067.6","3,989.4","52.86K","-0.64%"
"05/22/2014","4,067.6","4,093.7","4,119.8","4,041.5","270.70K","-0.64%"
"05/21/2014","4,093.7","4,041.5","4,093.7","3,989.4","491.95K","1.95%"
"05/20/2014","4,015.5","4,015.5","4,041.5","3,963.3","43.15K","0.00%"
"05/19/2014","4,015.5","3,989.4","4,041.5","3,963.3","204.59K","0.00%"
"05/16/2014","4,015.5","4,041.5","4,041.5","3,989.4","559.98K","0.00%"
"05/15/2014","4,015.5","3,963.3","4,041.5","3,963.3","298.18K","0.65%"
"05/14/2014","3,989.4","3,937.2","4,041.5","3,911.2","397.87K","2.00%"
"05/13/2014","3,911.2","3,911.2","3,963.3","3,911.2","435.80K","0.67%"
"05/12/2014","3,885.1","3,934.9","3,959.8","3,885.1","590.64K","-3.11%"
"05/09/2014","4,009.6","3,934.9","4,009.6","3,885.1","926.80K","1.90%"
"05/08/2014","3,934.9","4,059.4","4,059.4","3,835.3","729.20K","-3.66%"
"05/07/2014","4,084.3","4,084.3","4,084.3","4,009.6","373.76K","0.61%"
"05/06/2014","4,059.4","4,084.3","4,109.2","4,034.5","851.58K","-0.61%"
"05/05/2014","4,084.3","4,084.3","4,109.2","4,059.4","905.42K","0.00%"
"04/29/2014","4,084.3","4,109.2","4,109.2","4,084.3","164.14K","0.00%"
"04/28/2014","4,084.3","4,134.1","4,134.1","4,084.3","345.77K","-0.61%"
"04/25/2014","4,109.2","4,034.5","4,159.0","4,034.5","458.20K","1.85%"
"04/24/2014","4,034.5","4,109.2","4,109.2","4,034.5","457.37K","-1.82%"
"04/23/2014","4,109.2","4,109.2","4,159.0","4,109.2","257.35K","-1.20%"
"04/22/2014","4,159.0","4,134.1","4,159.0","4,134.1","464.94K","0.60%"
"04/21/2014","4,134.1","4,134.1","4,159.0","4,109.2","386.29K","-0.60%"
"04/18/2014","4,159.0","4,159.0","4,183.9","4,134.1","1.81M","0.00%"
"04/17/2014","4,159.0","4,183.9","4,183.9","4,134.1","816.41K","-0.60%"
"04/16/2014","4,183.9","4,159.0","4,233.7","4,134.1","1.29M","0.60%"
"04/15/2014","4,159.0","4,258.6","4,258.6","4,159.0","1.14M","-2.34%"
"04/14/2014","4,258.6","4,233.7","4,258.6","4,183.9","829.52K","1.18%"
"04/11/2014","4,208.8","4,208.8","4,233.7","4,183.9","1.60M","0.00%"
"04/10/2014","4,208.8","4,183.9","4,233.7","4,183.9","246.85K","0.60%"
"04/08/2014","4,183.9","4,233.7","4,233.7","3,810.4","187.49K","-0.59%"
"04/07/2014","4,208.8","4,159.0","4,258.6","4,134.1","175.38K","-1.17%"
"04/04/2014","4,258.6","4,233.7","4,283.6","4,233.7","555.14K","-0.58%"
"04/03/2014","4,283.6","4,208.8","4,283.6","4,183.9","959.20K","2.38%"
"04/02/2014","4,183.9","4,183.9","4,208.8","4,159.0","1.25M","-0.59%"
"04/01/2014","4,208.8","4,233.7","4,258.6","4,208.8","1.92M","-1.17%"
"03/31/2014","4,258.6","4,258.6","4,258.6","4,233.7","734.07K","0.00%"
"03/28/2014","4,258.6","4,258.6","4,258.6","4,208.8","422.77K","0.59%"
"03/27/2014","4,233.7","4,159.0","4,258.6","4,159.0","1.09M","0.00%"
"03/26/2014","4,233.7","4,308.5","4,308.5","4,233.7","2.15M","-1.74%"
"03/25/2014","4,308.5","4,358.3","4,358.3","4,283.6","1.85M","-1.14%"
"03/24/2014","4,358.3","4,333.4","4,358.3","4,258.6","2.08M","1.16%"
"03/21/2014","4,308.5","4,283.6","4,358.3","4,134.1","1.49M","-0.57%"
"03/20/2014","4,333.4","4,283.6","4,358.3","4,283.6","1.66M","-0.57%"
"03/19/2014","4,358.3","4,283.6","4,358.3","4,183.9","2.25M","2.34%"
"03/18/2014","4,258.6","4,134.1","4,283.6","4,134.1","2.40M","3.01%"
"03/17/2014","4,134.1","4,109.2","4,134.1","4,084.3","2.68M","0.61%"
"03/14/2014","4,109.2","4,109.2","4,109.2","4,084.3","1.82M","0.00%"
"03/13/2014","4,109.2","4,084.3","4,109.2","4,084.3","1.14M","0.61%"
"03/12/2014","4,084.3","4,109.2","4,134.1","4,084.3","779.28K","-0.61%"
"03/11/2014","4,109.2","4,109.2","4,134.1","4,084.3","1.18M","0.00%"
"03/10/2014","4,109.2","4,109.2","4,159.0","4,109.2","785.66K","-0.60%"
"03/07/2014","4,134.1","4,134.1","4,233.7","4,109.2","789.21K","0.00%"
"03/06/2014","4,134.1","4,408.1","4,433.0","4,109.2","1.77M","0.00%"
"03/05/2014","4,134.1","4,134.1","4,183.9","4,109.2","769.09K","0.00%"
"03/04/2014","4,134.1","4,109.2","4,159.0","4,059.4","989.21K","-0.60%"
"03/03/2014","4,159.0","4,258.6","4,258.6","4,159.0","1.12M","-2.34%"
"02/28/2014","4,258.6","4,308.5","4,383.2","4,208.8","1.39M","-1.16%"
"02/27/2014","4,308.5","4,059.4","4,457.9","4,034.5","5.57M","6.14%"
"02/26/2014","4,059.4","3,984.7","4,059.4","3,984.7","2.40M","1.24%"
"02/25/2014","4,009.6","4,009.6","4,034.5","3,984.7","873.31K","0.00%"
"02/24/2014","4,009.6","3,984.7","4,009.6","3,611.1","520.59K","0.00%"
"02/21/2014","4,009.6","4,009.6","4,009.6","3,984.7","507.22K","0.62%"
"02/20/2014","3,984.7","4,009.6","4,059.4","3,984.7","1.07M","-0.62%"
"02/19/2014","4,009.6","4,009.6","4,034.5","3,984.7","1.63M","0.00%"
"02/18/2014","4,009.6","4,009.6","4,034.5","3,984.7","2.12M","0.00%"
"02/17/2014","4,009.6","4,084.3","4,084.3","3,984.7","1.96M","-2.42%"
"02/14/2014","4,109.2","4,109.2","4,134.1","4,034.5","654.26K","0.00%"
"02/13/2014","4,109.2","4,109.2","4,134.1","4,034.5","584.40K","0.61%"
