"Date","Price","Open","High","Low","Vol.","Change %"
"06/23/2022","128,200","129,300","129,600","126,300","682.70K","-0.85%"
"06/22/2022","129,300","127,800","130,000","127,500","930.70K","1.17%"
"06/21/2022","127,800","126,000","128,000","125,000","710.60K","0.63%"
"06/20/2022","127,000","125,000","127,200","124,700","759.50K","1.68%"
"06/17/2022","124,900","125,000","125,100","122,100","561.70K","-0.40%"
"06/16/2022","125,400","124,300","127,500","123,400","678.70K","0.72%"
"06/15/2022","124,500","124,800","125,100","122,900","691.80K","-0.24%"
"06/14/2022","124,800","124,000","124,800","123,300","625.30K","-0.08%"
"06/13/2022","124,900","126,500","126,800","123,500","584.50K","-2.19%"
"06/10/2022","127,700","127,300","128,900","126,000","683.50K","-0.08%"
"06/09/2022","127,800","126,300","127,800","125,800","643.90K","0.63%"
"06/08/2022","127,000","126,500","127,200","125,800","656.50K","0.16%"
"06/07/2022","126,800","127,000","127,000","125,500","607.50K","-0.63%"
"06/06/2022","127,600","125,500","128,100","125,000","681.10K","0.47%"
"06/03/2022","127,000","128,500","128,600","125,400","631.30K","-1.32%"
"06/02/2022","128,700","131,500","131,500","128,000","822.80K","-1.98%"
"06/01/2022","131,300","130,500","131,500","129,600","662.20K","0.31%"
"05/31/2022","130,900","132,600","132,600","129,800","638.70K","-1.21%"
"05/30/2022","132,500","127,300","132,500","127,300","1.16M","4.33%"
"05/27/2022","127,000","125,000","127,000","124,100","858.70K","1.60%"
"05/26/2022","125,000","125,700","125,700","123,500","583.70K","-0.56%"
"05/25/2022","125,700","124,500","125,900","123,400","778.90K","0.32%"
"05/24/2022","125,300","124,800","125,300","123,000","608.80K","0.24%"
"05/23/2022","125,000","125,300","125,500","122,300","648.90K","-0.24%"
"05/20/2022","125,300","125,400","125,500","123,000","502.30K","0.00%"
"05/19/2022","125,300","124,000","125,800","122,200","757.00K","-0.32%"
"05/18/2022","125,700","127,500","127,500","124,000","660.90K","-1.80%"
"05/17/2022","128,000","126,000","128,000","123,600","610.30K","1.59%"
"05/16/2022","126,000","126,300","127,000","123,000","619.70K","0.08%"
"05/13/2022","125,900","124,500","127,400","123,500","687.90K","0.88%"
"05/12/2022","124,800","126,500","126,600","121,500","633.60K","-1.34%"
"05/11/2022","126,500","128,900","129,000","126,100","532.10K","-2.01%"
"05/10/2022","129,100","123,900","129,100","122,500","625.40K","4.11%"
"05/09/2022","124,000","127,000","128,000","122,500","561.00K","-3.13%"
"05/06/2022","128,000","130,000","130,000","126,800","369.70K","-2.14%"
"05/05/2022","130,800","130,000","130,800","128,400","431.40K","0.38%"
"05/04/2022","130,300","129,500","131,300","129,000","488.60K","0.31%"
"04/29/2022","129,900","128,500","130,800","126,500","547.40K","0.70%"
"04/28/2022","129,000","128,000","129,300","126,000","393.40K","0.00%"
"04/27/2022","129,000","129,000","129,500","125,000","483.30K","0.00%"
"04/26/2022","129,000","129,500","132,600","124,500","681.90K","-1.53%"
"04/25/2022","131,000","138,200","138,500","128,600","637.90K","-5.21%"
"04/22/2022","138,200","136,600","141,000","136,600","910.80K","1.25%"
"04/21/2022","136,500","140,000","142,200","136,500","732.60K","-3.87%"
"04/20/2022","142,000","142,800","144,300","141,500","771.60K","-0.77%"
"04/19/2022","143,100","138,300","143,100","137,200","1.01M","3.47%"
"04/18/2022","138,300","136,000","139,000","135,000","777.60K","1.77%"
"04/15/2022","135,900","136,900","137,200","135,400","600.60K","-0.73%"
"04/14/2022","136,900","137,500","138,600","135,000","639.10K","-0.87%"
"04/13/2022","138,100","138,100","138,500","137,400","772.30K","0.07%"
"04/12/2022","138,000","139,200","140,000","137,500","770.50K","-0.29%"
"04/08/2022","138,400","137,000","138,800","136,500","661.70K","1.02%"
"04/07/2022","137,000","140,500","140,500","137,000","728.90K","-2.84%"
"04/06/2022","141,000","141,000","141,300","138,900","609.80K","-0.35%"
"04/05/2022","141,500","142,900","143,500","141,500","666.20K","-0.98%"
"04/04/2022","142,900","140,900","143,500","139,000","988.90K","1.42%"
"04/01/2022","140,900","140,500","141,000","136,500","665.60K","0.28%"
"03/31/2022","140,500","140,400","141,300","139,500","598.10K","0.00%"
"03/30/2022","140,500","142,000","142,500","139,500","721.20K","-1.68%"
"03/29/2022","142,900","140,800","142,900","140,000","1.04M","1.49%"
"03/28/2022","140,800","142,800","142,900","139,500","738.80K","-1.54%"
"03/25/2022","143,000","144,000","144,000","142,400","807.50K","-0.69%"
"03/24/2022","144,000","141,000","144,000","139,900","1.17M","2.13%"
"03/23/2022","141,000","140,800","141,000","139,200","721.60K","0.14%"
"03/22/2022","140,800","143,300","143,300","140,000","744.00K","-1.74%"
"03/21/2022","143,300","146,100","146,100","143,000","788.20K","-3.31%"
"03/18/2022","148,200","144,200","148,200","142,700","2.41M","2.21%"
"03/17/2022","145,000","146,000","147,000","144,000","1.01M","-1.36%"
"03/16/2022","147,000","147,000","147,000","144,200","1.04M","-0.68%"
"03/15/2022","148,000","145,000","148,000","144,500","1.41M","2.07%"
"03/14/2022","145,000","138,600","146,300","138,400","1.43M","4.69%"
"03/11/2022","138,500","138,500","139,800","137,500","1.01M","-0.36%"
"03/10/2022","139,000","140,000","140,300","139,000","789.30K","-0.71%"
"03/09/2022","140,000","136,900","141,700","136,500","958.20K","2.19%"
"03/08/2022","137,000","134,000","137,000","133,800","863.40K","2.09%"
"03/07/2022","134,200","138,600","138,600","134,000","801.90K","-3.73%"
"03/04/2022","139,400","142,500","142,800","139,400","691.70K","-2.79%"
"03/03/2022","143,400","145,000","145,000","141,300","641.90K","-1.10%"
"03/02/2022","145,000","140,800","145,000","140,300","1.12M","2.91%"
"03/01/2022","140,900","139,000","142,500","139,000","808.30K","0.57%"
"02/28/2022","140,100","144,500","144,500","138,600","794.30K","-3.45%"
"02/25/2022","145,100","148,100","148,100","145,100","754.40K","-1.96%"
"02/24/2022","148,000","146,900","148,200","143,500","731.40K","-0.13%"
"02/23/2022","148,200","142,400","149,000","142,000","1.15M","3.78%"
"02/22/2022","142,800","144,000","144,300","141,200","799.50K","-2.19%"
"02/21/2022","146,000","147,500","148,600","146,000","974.30K","-2.01%"
"02/18/2022","149,000","140,100","149,000","140,100","1.42M","5.23%"
"02/17/2022","141,600","139,000","141,600","138,300","1.18M","1.72%"
"02/16/2022","139,200","139,500","139,500","137,100","640.90K","0.00%"
"02/15/2022","139,200","138,900","140,000","137,000","908.70K","-0.57%"
"02/14/2022","140,000","132,000","140,000","132,000","1.28M","5.42%"
"02/11/2022","132,800","132,800","132,900","129,800","872.70K","-0.15%"
"02/10/2022","133,000","134,800","134,800","132,300","1.07M","-1.48%"
"02/09/2022","135,000","130,800","135,000","129,800","1.16M","2.66%"
"02/08/2022","131,500","130,700","132,700","130,100","829.10K","0.84%"
"02/07/2022","130,400","122,800","130,400","122,800","1.06M","6.97%"
"01/28/2022","121,900","121,500","122,700","121,100","574.30K","0.66%"
"01/27/2022","121,100","121,000","121,800","119,100","714.60K","0.00%"
"01/26/2022","121,100","121,300","121,300","119,000","666.10K","-0.16%"
"01/25/2022","121,300","120,500","121,300","118,500","576.60K","0.66%"
"01/24/2022","120,500","121,800","122,000","117,300","605.60K","-1.23%"
"01/21/2022","122,000","123,600","123,700","121,000","515.10K","-1.29%"
"01/20/2022","123,600","126,000","126,300","123,600","901.80K","-2.14%"
"01/19/2022","126,300","124,000","126,300","122,000","1.02M","1.45%"
"01/18/2022","124,500","120,500","124,500","120,000","842.30K","3.32%"
"01/17/2022","120,500","121,500","122,000","120,000","644.30K","-1.23%"
"01/14/2022","122,000","121,900","122,300","121,000","585.40K","0.00%"
"01/13/2022","122,000","123,000","123,000","120,000","706.80K","-0.97%"
"01/12/2022","123,200","123,000","123,200","120,800","624.60K","-0.48%"
"01/11/2022","123,800","123,500","123,800","122,000","681.40K","0.00%"
"01/10/2022","123,800","123,900","123,900","122,500","682.90K","0.00%"
"01/07/2022","123,800","123,800","124,100","121,800","642.90K","0.00%"
"01/06/2022","123,800","123,000","124,400","122,700","627.10K","0.65%"
"01/05/2022","123,000","125,800","125,900","123,000","570.10K","-2.38%"
"01/04/2022","126,000","128,300","128,300","126,000","689.60K","-1.79%"
"12/31/2021","128,300","126,000","128,300","125,800","894.70K","1.83%"
"12/30/2021","126,000","124,600","126,000","124,000","881.80K","0.64%"
"12/29/2021","125,200","125,200","125,400","123,400","863.10K","0.00%"
"12/28/2021","125,200","125,700","125,900","122,700","770.70K","0.16%"
"12/27/2021","125,000","124,000","125,000","123,000","718.70K","0.81%"
"12/24/2021","124,000","123,900","124,500","122,800","776.80K","0.08%"
"12/23/2021","123,900","122,700","123,900","120,700","690.50K","0.98%"
"12/22/2021","122,700","122,500","123,000","121,000","698.60K","0.16%"
"12/21/2021","122,500","121,900","122,500","121,500","680.80K","0.33%"
"12/20/2021","122,100","122,500","122,500","120,000","708.00K","-0.33%"
"12/17/2021","122,500","122,900","123,600","121,400","744.30K","-0.24%"
"12/16/2021","122,800","123,100","124,000","121,100","771.60K","-0.97%"
"12/15/2021","124,000","123,900","124,300","122,900","779.80K","0.00%"
"12/14/2021","124,000","126,000","126,000","123,100","794.80K","-1.43%"
"12/13/2021","125,800","124,500","126,000","124,000","907.50K","1.04%"
"12/10/2021","124,500","123,600","125,000","122,500","677.00K","0.81%"
"12/09/2021","123,500","120,900","123,500","119,500","839.70K","1.73%"
"12/08/2021","121,400","122,800","123,000","120,100","732.80K","-1.30%"
"12/07/2021","123,000","120,000","123,000","118,500","921.00K","2.07%"
"12/06/2021","120,500","119,800","120,500","118,000","775.80K","0.08%"
"12/03/2021","120,400","120,400","120,800","118,300","805.10K","0.00%"
"12/02/2021","120,400","120,000","120,900","119,700","814.30K","0.33%"
"12/01/2021","120,000","121,600","122,000","116,800","819.00K","-2.04%"
"11/30/2021","122,500","123,000","123,700","121,600","669.00K","-2.00%"
"11/29/2021","125,000","128,900","128,900","124,500","873.50K","-3.47%"
"11/26/2021","129,500","131,800","131,800","128,100","911.40K","-1.89%"
"11/25/2021","132,000","132,200","132,800","130,900","1.02M","-0.15%"
"11/24/2021","132,200","132,400","132,400","130,800","1.18M","0.15%"
"11/23/2021","132,000","127,800","132,100","127,500","1.32M","3.13%"
"11/22/2021","128,000","128,200","128,400","126,000","799.30K","0.16%"
"11/19/2021","127,800","126,500","127,900","126,200","958.80K","1.03%"
"11/18/2021","126,500","127,900","128,000","125,600","907.70K","-1.09%"
"11/17/2021","127,900","127,500","128,000","127,000","746.00K","0.00%"
"11/16/2021","127,900","126,500","127,900","125,500","798.40K","0.71%"
"11/15/2021","127,000","128,100","128,600","126,000","803.30K","-1.24%"
"11/12/2021","128,600","128,200","128,900","127,500","755.20K","0.00%"
"11/11/2021","128,600","129,200","129,400","127,300","823.50K","-0.85%"
"11/10/2021","129,700","131,000","131,000","128,800","716.90K","-0.99%"
"11/09/2021","131,000","131,900","131,900","129,300","798.70K","-0.61%"
"11/08/2021","131,800","129,800","132,000","129,600","1.05M","1.38%"
"11/05/2021","130,000","129,600","130,300","129,200","869.30K","0.31%"
