Date,Price,Open,High,Low,Vol.,Change %
08/06/2014,"116,000.00","117,000.00","118,000.00","116,000.00",328.17K,-0.85%
08/05/2014,"117,000.00","114,000.00","118,000.00","112,000.00",697.74K,4.46%
08/04/2014,"112,000.00","111,000.00","114,000.00","110,000.00",343.06K,0.90%
08/01/2014,"111,000.00","112,000.00","113,000.00","111,000.00",187.55K,-1.77%
07/31/2014,"113,000.00","110,000.00","113,000.00","110,000.00",324.37K,1.80%
07/30/2014,"111,000.00","111,000.00","112,000.00","110,000.00",234.95K,0.00%
07/29/2014,"111,000.00","111,000.00","111,000.00","109,000.00",175.61K,0.00%
07/28/2014,"111,000.00","114,000.00","114,000.00","111,000.00",251.48K,-2.63%
07/25/2014,"114,000.00","115,000.00","116,000.00","114,000.00",309.05K,0.00%
07/24/2014,"114,000.00","113,000.00","114,000.00","112,000.00",342.86K,0.88%
07/23/2014,"113,000.00","113,000.00","113,000.00","111,000.00",110.21K,0.00%
07/22/2014,"113,000.00","112,000.00","113,000.00","111,000.00",138.21K,0.00%
07/21/2014,"113,000.00","110,000.00","114,000.00","110,000.00",635.08K,2.73%
07/18/2014,"110,000.00","110,000.00","111,000.00","108,000.00",331.59K,0.00%
07/17/2014,"110,000.00","109,000.00","110,000.00","108,000.00",213.39K,0.92%
07/16/2014,"109,000.00","111,000.00","111,000.00","109,000.00",311.65K,-0.91%
07/15/2014,"110,000.00","110,000.00","110,000.00","109,000.00",287.53K,0.00%
07/14/2014,"110,000.00","109,000.00","110,000.00","108,000.00",224.46K,0.92%
07/11/2014,"109,000.00","110,000.00","111,000.00","109,000.00",105.00K,-0.91%
07/10/2014,"110,000.00","111,000.00","111,000.00","108,000.00",222.07K,-0.90%
07/09/2014,"111,000.00","111,000.00","112,000.00","110,000.00",137.79K,0.00%
07/08/2014,"111,000.00","110,000.00","112,000.00","109,000.00",204.90K,0.91%
07/07/2014,"110,000.00","111,000.00","112,000.00","110,000.00",229.15K,-1.79%
07/04/2014,"112,000.00","111,000.00","113,000.00","110,000.00",330.80K,0.90%
07/03/2014,"111,000.00","110,000.00","111,000.00","108,000.00",257.55K,1.83%
07/02/2014,"109,000.00","111,000.00","112,000.00","109,000.00",363.45K,-1.80%
07/01/2014,"111,000.00","112,000.00","113,000.00","110,000.00",566.99K,-0.89%
06/30/2014,"112,000.00","111,000.00","114,000.00","111,000.00",154.12K,0.00%
06/27/2014,"112,000.00","108,000.00","112,000.00","108,000.00",326.90K,3.70%
06/26/2014,"108,000.00","106,000.00","108,000.00","105,000.00",252.14K,1.89%
06/25/2014,"106,000.00","107,000.00","108,000.00","106,000.00",201.08K,-0.93%
06/24/2014,"107,000.00","105,000.00","108,000.00","105,000.00",521.87K,1.90%
06/23/2014,"105,000.00","104,000.00","106,000.00","103,000.00",263.96K,0.96%
06/20/2014,"104,000.00","105,000.00","107,000.00","103,000.00",287.07K,-0.95%
06/19/2014,"105,000.00","103,000.00","105,000.00","100,000.00",395.80K,0.96%
06/18/2014,"104,000.00","105,000.00","106,000.00","104,000.00",159.89K,-0.95%
06/17/2014,"105,000.00","106,000.00","106,000.00","103,000.00",512.31K,-0.94%
06/16/2014,"106,000.00","108,000.00","109,000.00","106,000.00",297.05K,-1.85%
06/13/2014,"108,000.00","107,000.00","110,000.00","107,000.00",321.36K,0.00%
06/12/2014,"108,000.00","107,000.00","108,000.00","106,000.00",266.10K,0.93%
06/11/2014,"107,000.00","107,000.00","109,000.00","106,000.00",441.31K,0.00%
06/10/2014,"107,000.00","105,000.00","110,000.00","104,000.00",319.66K,2.88%
06/09/2014,"104,000.00","100,000.00","107,000.00","100,000.00",497.32K,4.00%
06/06/2014,"100,000.00","98,000.00","100,000.00","97,500.00",363.09K,2.56%
06/05/2014,"97,500.00","98,000.00","98,500.00","97,500.00",231.09K,-1.02%
06/04/2014,"98,500.00","98,000.00","98,500.00","97,000.00",459.53K,0.51%
06/03/2014,"98,000.00","97,000.00","98,500.00","96,000.00",311.43K,1.55%
06/02/2014,"96,500.00","97,000.00","98,000.00","96,000.00",644.57K,-1.03%
05/30/2014,"97,500.00","96,500.00","99,500.00","96,000.00",1.05M,1.56%
05/29/2014,"96,000.00","94,000.00","96,500.00","93,500.00",297.67K,2.13%
05/28/2014,"94,000.00","94,000.00","94,000.00","92,500.00",276.05K,1.08%
05/27/2014,"93,000.00","92,000.00","93,000.00","91,500.00",330.78K,0.54%
05/26/2014,"92,500.00","92,500.00","92,500.00","91,500.00",171.18K,0.00%
05/23/2014,"92,500.00","92,000.00","93,500.00","92,000.00",303.82K,0.54%
05/22/2014,"92,000.00","91,500.00","93,000.00","91,000.00",490.60K,0.55%
05/21/2014,"91,500.00","90,000.00","91,500.00","89,000.00",363.72K,1.67%
05/20/2014,"90,000.00","87,500.00","90,500.00","87,500.00",305.13K,2.86%
05/19/2014,"87,500.00","89,000.00","89,000.00","86,500.00",436.70K,-1.69%
05/16/2014,"89,000.00","90,000.00","90,500.00","87,500.00",423.65K,-1.11%
05/15/2014,"90,000.00","91,000.00","92,500.00","86,000.00",1.02M,-0.55%
05/14/2014,"90,500.00","89,000.00","91,000.00","89,000.00",646.32K,0.56%
05/13/2014,"90,000.00","89,500.00","91,000.00","89,000.00",309.18K,-0.55%
05/12/2014,"90,500.00","96,000.00","96,000.00","89,500.00",459.03K,-6.70%
05/09/2014,"97,000.00","91,000.00","97,000.00","89,500.00",957.26K,5.43%
05/08/2014,"92,000.00","96,000.00","96,500.00","92,000.00",1.67M,-6.60%
05/07/2014,"98,500.00","99,000.00","99,000.00","97,000.00",145.76K,0.51%
05/06/2014,"98,000.00","99,000.00","99,000.00","96,000.00",829.52K,-1.51%
05/05/2014,"99,500.00","101,000.00","102,000.00","99,000.00",504.92K,0.00%
04/29/2014,"99,500.00","96,000.00","99,500.00","96,000.00",415.58K,2.58%
04/28/2014,"97,000.00","97,500.00","99,500.00","97,000.00",267.87K,0.00%
04/25/2014,"97,000.00","93,000.00","98,500.00","93,000.00",677.64K,4.86%
04/24/2014,"92,500.00","91,000.00","92,500.00","91,000.00",289.01K,1.09%
04/23/2014,"91,500.00","91,000.00","91,500.00","90,500.00",222.55K,0.55%
04/22/2014,"91,000.00","91,000.00","91,000.00","90,000.00",316.22K,1.11%
04/21/2014,"90,000.00","92,000.00","92,000.00","90,000.00",365.50K,-1.10%
04/18/2014,"91,000.00","92,500.00","92,500.00","90,500.00",391.85K,-1.09%
04/17/2014,"92,000.00","93,000.00","93,000.00","90,500.00",488.13K,1.66%
04/16/2014,"90,500.00","92,000.00","93,000.00","90,500.00",559.97K,-2.69%
