"Date","Price","Open","High","Low","Vol.","Change %"
"01/21/2016","10,600.0","10,800.0","11,300.0","10,600.0","736.54K","-2.75%"
"01/20/2016","10,900.0","11,200.0","11,300.0","10,900.0","366.49K","-2.68%"
"01/19/2016","11,200.0","10,800.0","11,300.0","10,800.0","308.31K","4.67%"
"01/18/2016","10,700.0","10,600.0","11,100.0","10,600.0","591.70K","-3.60%"
"01/15/2016","11,100.0","11,800.0","11,900.0","11,100.0","1.42M","-6.72%"
"01/14/2016","11,900.0","11,900.0","12,200.0","11,800.0","493.35K","-4.03%"
"01/13/2016","12,400.0","12,500.0","12,600.0","12,300.0","158.62K","-0.80%"
"01/12/2016","12,500.0","12,400.0","12,500.0","12,200.0","229.76K","1.63%"
"01/11/2016","12,300.0","12,600.0","12,700.0","12,300.0","470.19K","-2.38%"
"01/08/2016","12,600.0","12,600.0","12,700.0","12,300.0","452.54K","0.00%"
"01/07/2016","12,600.0","12,700.0","12,800.0","12,400.0","835.46K","-1.56%"
"01/06/2016","12,800.0","12,400.0","12,900.0","12,400.0","1.27M","4.07%"
"01/05/2016","12,300.0","12,600.0","12,600.0","12,300.0","332.49K","-2.38%"
"01/04/2016","12,600.0","12,700.0","12,800.0","12,300.0","1.13M","-3.82%"
"12/31/2015","13,100.0","12,600.0","13,100.0","12,300.0","3.53M","3.97%"
"12/30/2015","12,600.0","12,100.0","12,600.0","12,000.0","1.41M","5.00%"
"12/29/2015","12,000.0","11,700.0","12,300.0","11,600.0","1.10M","2.56%"
"12/28/2015","11,700.0","11,700.0","11,900.0","11,600.0","623.43K","0.00%"
"12/25/2015","11,700.0","11,600.0","11,700.0","11,500.0","436.18K","0.86%"
"12/24/2015","11,600.0","11,800.0","11,900.0","11,600.0","306.94K","-1.69%"
"12/23/2015","11,800.0","11,900.0","11,900.0","11,600.0","560.75K","-0.84%"
"12/22/2015","11,900.0","11,600.0","11,900.0","11,600.0","1.12M","1.71%"
"12/21/2015","11,700.0","11,700.0","11,800.0","11,500.0","449.86K","-0.85%"
"12/18/2015","11,800.0","11,500.0","11,800.0","11,500.0","3.80M","1.72%"
"12/17/2015","11,600.0","11,600.0","11,800.0","11,600.0","462.51K","0.87%"
"12/16/2015","11,500.0","11,500.0","11,700.0","11,300.0","898.85K","0.00%"
"12/15/2015","11,500.0","11,600.0","11,700.0","11,400.0","462.54K","-1.71%"
